    NFFT     Time        rms      MHz   MFlops  iters  tplan
-------------------------------------------------------------
       8  0.0000002  0.00000007  32.00   480.0 1000000   0.0
       9  0.0000002  0.00000011  37.16   589.0 1000000   0.0
      10  0.0000003  0.00000008  37.65   625.3 1000000   0.0
      12  0.0000003  0.00000008  43.89   786.6 1000000   0.0
      14  0.0000003  0.00000009  42.67   812.2 1000000   0.0
      15  0.0000003  0.00000011  51.89  1013.7 1000000   0.0
      16  0.0000004  0.00000005  40.16   803.1 1000000   0.0
      18  0.0000006  0.00000013  30.72   640.5 1000000   0.0
      20  0.0000005  0.00000013  38.79   838.2 1000000   0.0
      21  0.0000008  0.00000010  26.35   578.8 1000000   0.0
      24  0.0000006  0.00000012  42.67   978.1 1000000   0.0
      25  0.0000008  0.00000011  32.65   758.2 1000000   0.0
      27  0.0000009  0.00000015  28.56   679.0 1000000   0.0
      28  0.0000007  0.00000013  42.16  1013.5 1000000   0.0
      30  0.0000007  0.00000013  43.64  1070.6 1000000   0.0
      32  0.0000006  0.00000014  50.57  1264.2 1000000   0.0
      35  0.0000011  0.00000012  30.48   781.6 1000000   0.0
      36  0.0000008  0.00000015  47.51  1228.0 1000000   0.0
      40  0.0000008  0.00000020  51.20  1362.4 1000000   0.0
      42  0.0000010  0.00000014  40.42  1089.8 1000000   0.0
      45  0.0000013  0.00000013  35.34   970.3 1000000   0.0
      48  0.0000009  0.00000016  54.86  1531.9 1000000   0.0
      49  0.0000015  0.00000015  32.84   921.9 1000000   0.0
      50  0.0000011  0.00000015  46.38  1308.7 1000000   0.0
      54  0.0000012  0.00000019  46.39  1334.8 1000000   0.0
      56  0.0000010  0.00000016  58.28  1692.2 1000000   0.0
      60  0.0000010  0.00000019  62.44  1844.1 1000000   0.0
      63  0.0000019  0.00000016  33.05   987.7 1000000   0.0
      64  0.0000010  0.00000019  62.53  1876.0 1000000   0.0
      70  0.0000014  0.00000020  48.43  1484.3 1000000   0.0
      72  0.0000010  0.00000021  69.82  2153.9 1000000   0.0
      75  0.0000019  0.00000014  38.87  1210.5 1000000   0.0
      80  0.0000012  0.00000018  68.27  2157.9 1000000   0.0
      81  0.0000020  0.00000016  39.88  1264.1 1000000   0.0
      84  0.0000012  0.00000019  68.05  2175.0 1000000   0.0
      90  0.0000017  0.00000020  54.34  1763.8 1000000   0.0
      96  0.0000013  0.00000019  75.85  2497.4 1000000   0.0
      98  0.0000020  0.00000015  49.98  1652.9 1000000   0.0
     100  0.0000015  0.00000022  67.72  2249.8 1000000   0.0
     105  0.0000027  0.00000013  38.51  1292.8 1000000   0.0
     108  0.0000016  0.00000020  65.52  2212.8 1000000   0.0
     112  0.0000015  0.00000020  73.52  2502.3 1000000   0.0
     120  0.0000014  0.00000020  88.79  3066.2 1000000   0.0
     125  0.0000037  0.00000015  33.47  1165.8 1000000   0.0
     126  0.0000025  0.00000021  50.40  1758.3 1000000   0.0
     128  0.0000017  0.00000021  74.81  2618.4 1000000   0.0
     135  0.0000032  0.00000017  41.54  1469.8 1000000   0.0
     140  0.0000020  0.00000020  71.68  2555.1 1000000   0.0
